ID,Title,Description,Public Disclosure Availability Date
473460,Microsoft Purview compliance portal: Endpoint Data Loss Prevention - Microsoft Purview Endpoint DLP blanket protections for unscannable file types,"Purview Endpoint DLP supports a set of specific file extensions and types. For file extensions not listed in this document, customers must use the 'File extension is' or 'File type is' rule condition. However, this approach can be challenging, as it requires manually enumerate all desired file extensions. This feature will enable protection for files outside the standard Purview Endpoint DLP monitoring scope.",April CY2025
473431,Microsoft Purview compliance portal: Insider Risk Management - Downgrade/remove sensitivity label,"This feature is an enhancement to the existing IRM Office Indicator. In the current version, only sensitivity label changes on the SharePoint Web app are captured in IRM. With the latest update, this indicator captures the sensitivity label changes (downgrade/ remove) when performed on OneDrive, AIP, and Endpoint (SharePoint file opened in Office app, or any sensitivity label change on the local files on your device).

Microsoft Purview Insider Risk Management correlates various signals to identify potential malicious or inadvertent insider risks such as IP theft, data leakage and security violations. Insider Risk Management enables customers to create policies based on their own internal policies, governance and organizational requirements. Built with privacy by design, users are pseudonymized by default, and role-based access controls and audit logs are in place to help ensure user-level privacy.",April CY2025
417483,Microsoft Purview compliance portal: Communication Compliance - Notify Users about Hidden Content Matches in Communication Compliance,"This feature is designed to enhance transparency by introducing a notification banner that alerts users when keywords embedded in hidden content, such as hyperlinks or encoded strings, trigger a compliance policy match. With this update, investigators will be able to quickly recognize that some or all keyword matches are not immediately visible in the main content body, saving time and ensuring a more efficient triage experience.",April CY2025
370535,Microsoft Purview compliance portal: Data Loss Prevention - Ability to rename the policy and rule names in DLP,This feature gives the ability for the DLP admin to rename the existing policy/rule without having to create the entire the rule or policy again.,April CY2025
472024,Microsoft Purview compliance portal: Data Lifecycle Management - Separation of the Copilot for Microsoft 365 retention policy location from Microsoft Teams chats,"Today, admins must manage retention and deletion for Copilot for Microsoft 365 interactions using a retention policy location that also includes Microsoft Teams chats. This feature will provide a new location option to manage only Copilot for Microsoft interactions, separate from Microsoft Teams chats.",April CY2025
422502,Microsoft Edge: Authorized group setting in Microsoft Edge for Business,"The authorized group setting ensures that Edge respects the settings for ""Printer groups,"" ""Removable USB device groups,"" and ""Network share groups"" in the Microsoft Purview compliance portal. This change will prevent users from bypassing Data Loss Prevention (DLP) protections by using Edge, thereby enhancing security and compliance.",April CY2025
420938,Microsoft Purview compliance portal: Insider Risk Management - Entra compromised user signals in IRM,"With this feature, IRM analysts can identify if the user being investigated has any compromised user alerts in Microsoft Entra. This will help them formulate the right response action, like escalating the Incident to SOC teams for quick remediation, etc. 

Microsoft Entra offers two types of compromised user detections.
1. Sign in risk detections: compromise risk associated with a specific sign-in.
2. User risk detections: compromise risk associated with a specific user.

Insider risk management admins can opt into each of the above risk detections from Insider risk management global settings. Risk detections will be available in the indicator timeline within the alert investigation experience. Risk detections will not impact the risk score or severity of Insider risk management alerts.

Microsoft Purview Insider Risk Management correlates various signals to identify potential malicious or inadvertent insider risks, such as IP theft, data leakage, and security violations. Insider Risk Management enables customers to create policies based on their own internal policies, governance, and organizational requirements. Built with privacy by design, users are pseudonymized by default, and role-based access controls and audit logs are in place to help ensure user-level privacy.  ",April CY2025
401127,Microsoft Purview compliance portal: Data Loss Prevention - Microsoft 365 Groups scoping in Teams DLP policy extend protection to 1:1/n chats,"When scoping policies to Microsoft 365 Groups in Teams DLP policies, members of Teams standard and shared channel chats associated with the groups are currently protected by the policies. This change will automatically extend the protection to standard/shared channels chats in other Microsfot 365 Groups and 1:1/n (non-channel) chats. There is no longer a need to add users, security groups or other Microsoft 365 groups to protect these chats, except for customers that have enabled optical character recognition (OCR) in Teams chat.",April CY2025
469504,Microsoft Purview compliance portal: Data Loss Prevention - Diagnostics in the new portal,We are building UX to surface the diagnostics that were previously available through cmdlet to be accessible through portal UX.,April CY2025
85606,Microsoft Purview | Communication Compliance: Integration with Power Automate (GCC-High and DoD),"Communication Compliance integration with Power Automate allows organizations to configure Power Automate flows to automate tasks for Communication Compliance cases and users. Microsoft Purview Communication Compliance provides the tools to help organizations detect regulatory compliance violations (e.g. SEC or FINRA), such as sensitive or confidential information, harassing or threatening language, and sharing of adult content. Built with privacy by design, usernames are pseudonymized by default, role-based access controls are built in, investigators are opted in by an admin, and audit logs are in place to help ensure user-level privacy. ",April CY2025
85604,Microsoft Purview | Communication Compliance: Integration with Power Automate,"Currently in public preview, Communication Compliance integration with Power Automate allows organizations to configure Power Automate flows to automate tasks for Communication Compliance cases and users. Microsoft Purview Communication Compliance provides the tools to help organizations detect regulatory compliance violations (e.g. SEC or FINRA), such as sensitive or confidential information, harassing or threatening language, and sharing of adult content. Built with privacy by design, usernames are pseudonymized by default, role-based access controls are built in, investigators are opted in by an admin, and audit logs are in place to help ensure user-level privacy. This item is no longer accurate and is being removed from the roadmap.  We apologize for any inconvenience. ",April CY2025
405118,Microsoft Purview compliance portal: Data Loss Prevention - New workload for Copilot in Content Explorer,"With this change, customers will start seeing a new Copilot location within the Content Explorer. This will have all the sensitive information which is present in Copilot conversations",April CY2025
464997,Microsoft Purview compliance portal: Microsoft Purview AI Hub – Data Assessments,"Data assessments in Microsoft Purview AI Hub provides a way for admins to drive data security outcomes by creating scoped assessments, reviewing the data sensitivity and user accesses on locations, and performing remediation actions to mitigate risk.",April CY2025
418566,Microsoft Purview compliance portal: Data Loss Prevention - Diagnostics in the new portal,We are building UX to surface the diagnostics that were previously available through cmdlet to be accessible through portal UX.,April CY2025
172024,Microsoft Purview compliance portal: Communication Compliance - Adaptive policy scope,"Adaptive policy scopes enable your organization to create scopes that automatically updates which users to include in your policy based on geography, group, or another user attribute. The policy will automatically update to match the criteria defined in the scope instead of you constantly needing to update the static list of users in your policies.",April CY2025
117546,Microsoft Purview compliance portal: Information Protection - New cmdlet for Content Explorer,"The Content Explorer Export feature has a limitation of exporting data only after drill down to specific location. This update will allow admins to use a new cmdlet within Security &amp; Compliance PowerShell, Export-ContentExplorerData, to export all rows of data for the content that are scanned and shown on the Content Explorer.",April CY2025
98186,Microsoft Purview | Communication Compliance: Support for adaptive policy scopes,"Adaptive policy scopes enable your organization to define user scopes for policies based on criteria such as geography, group, or other Azure Active Directory attributes. With adaptive policy scopes, policies are automatically updated to include users that match defined risk criteria rather than requiring admins to repeatedly update static lists of users to include in the policy scope. Microsoft Purview Communication Compliance provides the tools to help organizations detect regulatory compliance violations (e.g. SEC and FINRA obligations), such as inappropriate sharing of sensitive or confidential information, harassing or threatening language and sharing of adult content. Communication Compliance enables customers to create policies based on their own internal policies, governance and organizational requirements. Built with privacy by design, usernames are pseudonymized by default, role-based access controls are built in, investigators are opted in by an admin, and audit logs are in place to help ensure user-level privacy.",April CY2025
410397,Microsoft Purview compliance portal: Endpoint Data Loss Prevention- Network Share Coverage and Exclusion Support on Mac Endpoints,"With this feature, Sensitive data in files that are stored in network shares and mapped network drives will be protected by DLP policies across Mac endpoints as well.",April CY2025
410247,Microsoft Purview compliance portal: Endpoint Data Loss Prevention - Optical Character Recognition (OCR) on Mac Endpoints,"Purview policies like Data loss prevention (DLP) auto labelling can scan for sensitive content in most of the textual files, but images are not supported for content scanning today on Mac endpoint devices. We are adding OCR support on Mac endpoints to detect sensitive content in images and apply policies to protect these images.",April CY2025
409965,Microsoft Purview compliance portal: Insider Risk Management- Adaptive scopes,"Ability to target IRM policies using global Adaptive Scopes. Adaptive scopes within IRM policies allow admins to use existing adaptive scopes created on the Microsoft Purview compliance portal within IRM policies, Adaptive scopes can be created using queries to define user groups dynamically. This feature provides more powerful targeting for policies, allowing different settings to be assigned to users based on attributes from Entra ID without the administrative burden of creating and maintaining groups.
Microsoft Purview Insider Risk Management correlates various signals to identify potential malicious or inadvertent insider risks, such as IP theft, data leakage, and security violations. Insider Risk Management enables customers to create policies based on their own internal policies, governance, and organizational requirements. Built with privacy by design, users are pseudonymized by default, and role-based access controls and audit logs are in place to help ensure user-level privacy.",April CY2025
397771,Microsoft Purview compliance portal: Information Protection - Save filters for Activity Explorer,This adds the ability to save the filters applied to Activity Explorer and use them later.,April CY2025
